ก	ก ไก่ (ko kai) : コー・カイ（鶏のコー）	k	-k	[k]	-[k̚]	M
ข	ข ไข่ (kho khai) : コー・カイ（卵のコー）	kh	-k	[kʰ]	-[k̚]	H
ฃ	ฃ ขวด (kho khuat) : コー・クアッ(ト) （瓶のコー）【廃字】	kh	-k	[kʰ]	-[k̚]	H
ค	ค ควาย (kho khwai) : コー・クワーイ （水牛のコー）	kh	-k	[kʰ]	-[k̚]	L
ฅ	ฅ คน (kho khon) : コー・コン （人のコー）【廃字】	kh	-k	[kʰ]	-[k̚]	L
ฆ	ฆ ระฆัง (kho ra-khang) : コー・ラカン（鐘のコー）	kh	-k	[kʰ]	-[k̚]	L
ง	ง งู (ngo ngu) : ンゴー・ングー（蛇のンゴー）	ng	-ng	[ŋ]	-[ŋ]	L
จ	จ จาน (co can) : チョー・チャーン （皿のチョー）	c	-t	[tɕ]	-[t̚]	M
ฉ	ฉ ฉิ่ง (cho ching) : チョー・チン （チン[2]のチョー）	ch		[tɕʰ]		H
ช	ช ช้าง (cho chang) : チョー・チャーン （象のチョー）	ch	-t	[tɕʰ]	-[t̚]	L
ซ	ซ โซ่ (so so) : ソー・ソー （鎖のソー）	s	-t	[s]	-[t̚]	L
ฌ	ฌ เฌอ (cho choe) : チョー・チュー（木のチョー）	ch		[tɕʰ]		L
ญ	ญ หญิง (yo ying) : ヨー・イン（女のヨー）	y	-n	[j]	-[n]	L
ฎ	ฎ ชฎา (do cha-da) : ドー・チャダー（冠のドー）	d	-t	[d]	-[t̚]	M
ฏ	ฏ ปฏัก (to pa-tak) : トー・パタッ(ク) （突き棒[3]のトー）	t	-t	[t]	-[t̚]	M
ฐ	ฐ ฐาน (tho than) : トー・ターン （台座のトー）	th	-t	[tʰ]	-[t̚]	H
ฑ	ฑ มณโฑ (tho montho) : トー・モントー （モントー夫人[4]のトー）	th	-t	[tʰ]	-[t̚]	L
ฒ	ฒ ผู้เฒ่า (tho phu-thao) : トー・プータウ （年長者のトー）	th	-t	[tʰ]	-[t̚]	L
ณ	ณ เณร (no nen) : ノー・ネーン （見習い僧（小僧・沙弥）のノー）	n	-n	[n]	-[n]	L
ด	ด เด็ก (do dek) : ドー・デッ(ク) （子供のドー）	d	-t	[d]	-[t̚]	M
ต	ต เต่า (to tao) : トー・タウ （亀のトー）	t	-t	[t]	-[t̚]	M
ถ	ถ ถุง (tho thung) : トー・トゥン （袋のトー）	th	-t	[tʰ]	-[t̚]	H
ท	ท ทหาร (tho thahan) : トー・タハーン （兵士のトー）	th	-t	[tʰ]	-[t̚]	L
ธ	ธ ธง (tho thong) : トー・トン （旗のトー）	th	-t	[tʰ]	-[t̚]	L
น	น หนู (no nu) : ノー・ヌー （鼠（ねずみ）のノー）	n	-n	[n]	-[n]	L
บ	บ ใบไม้ (bo baimai) : ボー・バイマイ （葉のボー）	b	-p	[b]	-[p̚]	M
ป	ป ปลา (po pla) : ポー・プラー （魚のポー）	p	-p	[p]	-[p̚]	M
ผ	ผ ผึ้ง (pho phueng) : ポー・プン （蜂のポー）	ph		[pʰ]		H
ฝ	ฝ ฝา (fo fa) : フォー・ファー （蓋のフォー）	f		[f]		H
พ	พ พาน (pho phan) : ポー・パーン （食台のポー）	ph	-p	[pʰ]	-[p̚]	L
ฟ	ฟ ฟัน (fo fan) : フォー・ファン （歯のフォー）	f	-p	[f]	-[p̚]	L
ภ	ภ สำเภา (pho sam-phao) : ポー・サンパウ （ジャンク船のポー）	ph	-p	[pʰ]	-[p̚]	L
ม	ม ม้า (mo ma) : モー・マー （馬のモー）	m	-m	[m]	-[m]	L
ย	ย ยักษ์ (yo yak) : ヨー・ヤッ(ク) （夜叉のヨー）	y	-y	[j]	-[j]	L
ร	ร เรือ (ro ruea) : ロー・ルア （船のロー）	r	-n	[ɾ]	-[n]	L
ล	ล ลิง (lo ling) : ロー・リン （猿のロー）	l	-n	[l]	-[n]	L
ว	ว แหวน (wo waen) : ウォー・ウェーン （指輪のウォー）	w	-w	[w]	-[w]	L
ศ	ศ ศาลา (so sala) : ソー・サーラー （休憩所のソー）	s	-t	[s]	-[t̚]	H
ษ	ษ ฤๅษี (so rue-si) : ソー・ルーシー （隠者のソー）	s	-t	[s]	-[t̚]	H
ส	ส เสือ (so suea) : ソー・スア （虎のソー）	s	-t	[s]	-[t̚]	H
ห	ห หีบ (ho hip) : ホー・ヒー(プ) （葛籠（つづら）のホー）	h		[h]		H
ฬ	ฬ จุฬา (lo chu-la) : ロー・チュラー （凧（たこ）のロー）	l	-n	[l]	-[n]	L
อ	อ อ่าง (o ang) : オー・アーン （洗面器のオー）	無		[ʔ]		M
ฮ	ฮ นกฮูก (ho nok-huk) : ホー・ノッ(ク)フー(ク) （梟（ふくろう）のホー）	h		[h]		L
